country,min_wage,min_wage_rank,dollar_ppp,exchange_rate,coefficient,real_wage
Mexico,1.1,28,9.65993,17.758717,1.8383898227005788,2.022228804970637
Chile,2.1,27,431.415905,840.066527,1.9472312384959474,4.08918560084149
Turkiye,2.6,26,6.974967,33.1,4.7455421652890974,12.338409629751654
Latvia,3.0,25,0.5045,0.92484,1.833181367690783,5.499544103072349
Hungary,3.1,24,170.212279,353.088333,2.074399890973788,6.430639662018743
Poland,3.9,22,1.879248,4.203667,2.23688784024248,8.723862576945672
Slovak Republic,3.9,22,0.506852,0.92484,1.8246746584801876,7.116231168072732
Estonia,4.1,19,0.562992,0.92484,1.6427231648051837,6.735164975701252
Greece,4.1,19,0.516235,0.92484,1.7915096806686877,7.345189690741619
Czechia,4.1,19,12.55055,22.198083,1.7686940412969951,7.251645569317679
Lithuania,4.7,18,0.483176,0.92484,1.9140851366789742,8.99620014239118
Portugal,5.0,17,0.517344,0.92484,1.787669326405641,8.938346632028205
Slovenia,6.5,16,0.541355,0.92484,1.7083798985878027,11.104469340820717
Korea,7.1,14,800.348017,1305.6625,1.6313684450598194,11.582715959924718
Japan,7.1,14,94.677395,140.4911,1.4838927496896168,10.53563852279628
United States,7.3,13,1.0,1.0,1.0,7.3
Spain,8.2,12,0.572592,0.92484,1.6151814904853719,13.244488221980047
Israel,8.6,11,3.586914,3.667375,1.022431817434151,8.792913629933697
Netherlands,10.5,10,0.739454,0.92484,1.2507066024390971,13.13241932561052
Belgium,10.9,9,0.701943,0.92484,1.3175428774131233,14.361217363803044
Ireland,11.1,7,0.751366,0.92484,1.2308781605768693,13.662747582403249
Germany,11.1,7,0.703527,0.92484,1.3145764128455624,14.591798182585741
Canada,11.2,6,1.169928,1.349909,1.1538393815687802,12.923001073570337
France,11.4,5,0.672356,0.92484,1.3755213012154277,15.680942833855877
UnitedKingdom,11.5,4,0.667418,0.804539,1.2054499578974496,13.86267451582067
NewZealand,13.3,3,1.460444,1.628433,1.115025978401089,14.829845512734485
Luxembourg,13.9,2,0.82753,0.92484,1.117590903048832,15.534513552378765
Australia,14.5,1,1.391128,1.505191,1.0819931738847899,15.688901021329453
